成交日期,股票名稱,交易類別,成交股數,成交價格,出帳金額,投資成本,損益,報酬率%
2015/3/13,炎  洲(4306),現股賣出,6000,15.05,89902,94397,-4495,-4.76
2015/5/5,泰  銘(9927),現股賣出,2000,39.1,77855,79812,-1957,-2.45
2015/5/26,鑫永銓(2114),現股賣出,1000,96.5,96074,108153,-12079,-11.17
2015/7/15,華亞科(3474),現股賣出,3000,22.2,66307,73604,-7297,-9.91
2015/8/12,永信(3705),現股賣出,2000,47,93585,105655,-12070,-11.42
2015/8/24,永信(3705),現股賣出,1000,42.65,42463,52828,-10365,-19.62
2015/8/24,永信(3705),現股賣出,1000,43.8,43607,52828,-9221,-17.45
2015/9/2,福  興(9924),現股賣出,1000,55.4,55156,28243,26913,95.29
2015/9/7,福  興(9924),現股賣出,1000,54.3,54061,28243,25818,91.41
2015/9/7,超  豐(2441),現股賣出,1000,26.4,26284,25936,348,1.34
2015/9/7,台  半(5425),現股賣出,1000,22.1,22003,21430,573,2.67
2015/9/7,福  興(9924),現股賣出,1000,54,53762,28243,25519,90.36
2015/9/7,台新金(2887),現股賣出,2000,11.4,22700,23033,-333,-1.45
2015/9/7,中聯資(9930),現股賣出,1000,60.1,59835,68697,-8862,-12.9
2015/9/11,永  記(1726),現股賣出,1000,65.5,65211,63690,1521,2.39
2015/10/2,百  略(4103),現股賣出,1000,75.9,75565,79012,-3447,-4.36
2015/10/2,百  略(4103),現股賣出,1000,76.2,75864,79012,-3148,-3.98
2015/12/7,南  帝(2108),現股賣出,5000,25.8,128430,114161,14269,12.5
2015/12/14,台新金(2887),現股賣出,10000,11.15,111008,116365,-5357,-4.6
